NewTaipei,Taipei,KeeLung,TaoYuan,HsinChuCounty,HsinChuCity,MiaoLi,Taichung,Nantou,ChungHua,YuinLin,ChiaYiCounty,ChiaYiCity,Tainan,KaoHsung,PingTung,YiLan,HuaLien,Taitung,PengHo,KingMen,Lienchiang
板橋區,中正區,仁愛區,桃園區,竹北市,東區,苗栗市,中區,南投市,彰化市,斗六市,太保市,東區,中西區,楠梓區,屏東市,宜蘭市,花蓮市,臺東市,馬公市,金城鎮,南竿鄉
三重區,大同區,中正區,中壢區,竹東鎮,北區,通霄鎮,東區,埔里鎮,員林鎮,斗南鎮,朴子市,西區,東區,左營區,潮州鎮,羅東鎮,鳳林鎮,成功鎮,湖西鄉,金湖鎮,北竿鄉
中和區,中山區,信義區,平鎮區,新埔鎮,香山區,苑裡鎮,南區,草屯鎮,和美鎮,虎尾鎮,布袋鎮,,南區,鼓山區,東港鎮,蘇澳鎮,玉里鎮,關山鎮,白沙鄉,金沙鎮,莒光鄉
永和區,萬華區,中山區,八德區,關西鎮,,竹南鎮,西區,竹山鎮,鹿港鎮,西螺鎮,大林鎮,,北區,三民區,恆春鎮,頭城鎮,新城鄉,長濱鄉,西嶼鄉,金寧鄉,東引鄉
新莊區,信義區,安樂區,楊梅區,峨眉鄉,,頭份鎮,北區,集集鎮,溪湖鎮,土庫鎮,民雄鄉,,安平區,鹽埕區,萬丹鄉,礁溪鄉,吉安鄉,海端鄉,望安鄉,烈嶼鄉,
新店區,松山區,暖暖區,蘆竹區,寶山鄉,,後龍鎮,北屯區,名間鄉,二林鎮,北港鎮,溪口鄉,,安南區,前金區,長治鄉,壯圍鄉,壽豐鄉,池上鄉,七美鄉,烏坵鄉,
土城區,大安區,七堵區,龜山區,北埔鄉,,卓蘭鎮,西屯區,鹿谷鄉,田中鎮,莿桐鄉,新港鄉,,永康區,新興區,麟洛鄉,員山鄉,秀林鄉,東河鄉,,,
蘆洲區,南港區,,龍潭區,橫山鄉,,西湖鄉,南屯區,中寮鄉,北斗鎮,林內鄉,六腳鄉,,歸仁區,苓雅區,九如鄉,冬山鄉,光復鄉,鹿野鄉,,,
樹林區,北投區,,大溪區,芎林鄉,,頭屋鄉,太平區,魚池鄉,花壇鄉,古坑鄉,東石鄉,,新化區,前鎮區,里港鄉,五結鄉,豐濱鄉,延平鄉,,,
汐止區,內湖區,,大園區,湖口鄉,,公館鄉,大里區,國姓鄉,芬園鄉,大埤鄉,義竹鄉,,左鎮區,小港區,鹽埔鄉,三星鄉,瑞穗鄉,卑南鄉,,,
鶯歌區,士林區,,觀音區,新豐鄉,,銅鑼鄉,霧峰區,水里鄉,大村鄉,崙背鄉,鹿草鄉,,玉井區,旗津區,高樹鄉,大同鄉,萬榮鄉,金峰鄉,,,
三峽區,文山區,,新屋區,尖石鄉,,三義鄉,烏日區,信義鄉,永靖鄉,二崙鄉,水上鄉,,楠西區,鳳山區,萬巒鄉,南澳鄉,富里鄉,大武鄉,,,
淡水區,,,復興區,五峰鄉,,造橋鄉,豐原區,仁愛鄉,伸港鄉,麥寮鄉,中埔鄉,,南化區,大寮區,內埔鄉,,卓溪鄉,達仁鄉,,,
瑞芳區,,,,,,三灣鄉,后里區,,線西鄉,臺西鄉,竹崎鄉,,仁德區,鳥松區,竹田鄉,,,綠島鄉,,,
五股區,,,,,,南庄鄉,東勢區,,福興鄉,東勢鄉,梅山鄉,,關廟區,林園區,新埤鄉,,,蘭嶼鄉,,,
泰山區,,,,,,大湖鄉,石岡區,,秀水鄉,褒忠鄉,番路鄉,,龍崎區,仁武區,枋寮鄉,,,太麻里鄉,,,
林口區,,,,,,獅潭鄉,新社區,,埔心鄉,四湖鄉,大埔鄉,,官田區,大樹區,新園鄉,,,,,,
深坑區,,,,,,泰安鄉,和平區,,埔鹽鄉,口湖鄉,阿里山鄉,,麻豆區,大社區,崁頂鄉,,,,,,
石碇區,,,,,,,神岡區,,大城鄉,水林鄉,,,佳里區,岡山區,林邊鄉,,,,,,
坪林區,,,,,,,潭子區,,芳苑鄉,元長鄉,,,西港區,路竹區,南州鄉,,,,,,
三芝區,,,,,,,大雅區,,竹塘鄉,,,,七股區,橋頭區,佳冬鄉,,,,,,
石門區,,,,,,,大肚區,,社頭鄉,,,,將軍區,梓官區,琉球鄉,,,,,,
八里區,,,,,,,龍井區,,二水鄉,,,,學甲區,彌陀區,車城鄉,,,,,,
平溪區,,,,,,,沙鹿區,,田尾鄉,,,,北門區,永安區,滿洲鄉,,,,,,
雙溪區,,,,,,,梧棲區,,埤頭鄉,,,,新營區,燕巢區,枋山鄉,,,,,,
貢寮區,,,,,,,清水區,,溪州鄉,,,,後壁區,田寮區,霧台鄉,,,,,,
金山區,,,,,,,大甲區,,,,,,白河區,阿蓮區,瑪家鄉,,,,,,
萬里區,,,,,,,外埔區,,,,,,東山區,茄萣區,泰武鄉,,,,,,
烏來區,,,,,,,大安區,,,,,,六甲區,湖內區,來義鄉,,,,,,
,,,,,,,,,,,,,下營區,旗山區,春日鄉,,,,,,
,,,,,,,,,,,,,柳營區,美濃區,獅子鄉,,,,,,
,,,,,,,,,,,,,鹽水區,內門區,牡丹鄉,,,,,,
,,,,,,,,,,,,,善化區,杉林區,三地門鄉,,,,,,
,,,,,,,,,,,,,大內區,甲仙區,,,,,,,
,,,,,,,,,,,,,山上區,六龜區,,,,,,,
,,,,,,,,,,,,,新市區,茂林區,,,,,,,
,,,,,,,,,,,,,安定區,桃源區,,,,,,,
,,,,,,,,,,,,,,那瑪夏區,,,,,,,
